Index,Hero,T_Picked,T_Wins,T_Loses,T_WinRate,T_PickPercentage,BS_Picked,BS_Wins,BS_Loses,BS_WinRate,RS_Picked,RS_Wins,RS_Loses,RS_WinRate,T_Banned,T_BansPercentage,T_PicksBans,T_PicksBansPercentage,Played By,Played With,Played Vs.,Roles
88, Cyclops,5,4,1,80.00%,0.36%,3,2,1,66.67%,2,2,0,100.00%,0,0.00%,5,0.36%,3 (3-0)1 (1-0)1 (0-1), 2 (2-0) 2 (2-0) 2 (1-1) 1 (1-0) 1 (1-0), 3 (3-0) 3 (3-0) 2 (2-0) 2 (1-1) 2 (1-1),Mage
89, Granger,5,4,1,80.00%,0.36%,4,3,1,75.00%,1,1,0,100.00%,1,0.07%,6,0.43%,1 (1-0)1 (1-0)1 (1-0)1 (1-0)1 (0-1), 2 (2-0) 2 (2-0) 2 (2-0) 2 (1-1) 1 (1-0), 3 (2-1) 2 (2-0) 2 (1-1) 1 (1-0) 1 (1-0),Marksman
90, Julian,5,3,2,60.00%,0.36%,2,2,0,100.00%,3,1,2,33.33%,0,0.00%,5,0.36%,1 (1-0)1 (1-0)1 (1-0)1 (0-1)1 (0-1), 3 (2-1) 2 (0-2) 1 (1-0) 1 (1-0) 1 (1-0), 2 (2-0) 2 (2-0) 2 (1-1) 2 (1-1) 1 (1-0),Mage
91, Chang'e,5,1,4,20.00%,0.36%,1,0,1,0.00%,4,1,3,25.00%,0,0.00%,5,0.36%,2 (0-2)1 (1-0)1 (0-1)1 (0-1), 3 (0-3) 2 (1-1) 1 (1-0) 1 (1-0) 1 (1-0), 2 (1-1) 2 (1-1) 2 (0-2) 2 (0-2) 1 (1-0),Mage
92, Roger,5,0,5,0.00%,0.36%,2,0,2,0.00%,3,0,3,0.00%,0,0.00%,5,0.36%,4 (0-4)1 (0-1), 2 (0-2) 2 (0-2) 2 (0-2) 1 (0-1) 1 (0-1), 4 (0-4) 2 (0-2) 2 (0-2) 2 (0-2) 2 (0-2),Marksman / Fighter
93, Aamon,4,3,1,75.00%,0.29%,2,2,0,100.00%,2,1,1,50.00%,0,0.00%,4,0.29%,2 (2-0)1 (1-0)1 (0-1), 2 (1-1) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 3 (2-1) 2 (2-0) 2 (1-1) 1 (1-0) 1 (1-0),Assassin
94, Yi Sun-Shin,4,3,1,75.00%,0.29%,2,2,0,100.00%,2,1,1,50.00%,9,0.64%,13,0.93%,3 (2-1)1 (1-0), 2 (2-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 2 (2-0) 2 (2-0) 1 (1-0) 1 (1-0) 1 (1-0),Marksman / Assassin
95, Carmilla,4,1,3,25.00%,0.29%,2,1,1,50.00%,2,0,2,0.00%,1,0.07%,5,0.36%,2 (1-1)1 (0-1)1 (0-1), 3 (0-3) 2 (1-1) 2 (1-1) 1 (1-0) 1 (1-0), 3 (0-3) 2 (0-2) 2 (0-2) 1 (1-0) 1 (1-0),Support
96, Natan,4,1,3,25.00%,0.29%,1,0,1,0.00%,3,1,2,33.33%,1,0.07%,5,0.36%,1 (1-0)1 (0-1)1 (0-1)1 (0-1), 2 (1-1) 2 (1-1) 1 (1-0) 1 (1-0) 1 (0-1), 3 (1-2) 2 (0-2) 2 (0-2) 1 (1-0) 1 (1-0),Marksman
97, Selena,4,1,3,25.00%,0.29%,3,0,3,0.00%,1,1,0,100.00%,1,0.07%,5,0.36%,1 (1-0)1 (0-1)1 (0-1)1 (0-1), 3 (0-3) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 2 (1-1) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Mage / Assassin
98, Belerick,4,0,4,0.00%,0.29%,1,0,1,0.00%,3,0,3,0.00%,2,0.14%,6,0.43%,3 (0-3)1 (0-1), 2 (0-2) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 3 (0-3) 3 (0-3) 2 (0-2) 1 (0-1) 1 (0-1),Tank
99, Nana,3,2,1,66.67%,0.21%,1,0,1,0.00%,2,2,0,100.00%,0,0.00%,3,0.21%,3 (2-1), 2 (2-0) 2 (1-1) 2 (1-1) 1 (1-0) 1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Mage / Support
100, Hanabi,3,1,2,33.33%,0.21%,2,0,2,0.00%,1,1,0,100.00%,4,0.29%,7,0.50%,1 (1-0)1 (0-1)1 (0-1), 2 (0-2) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 2 (1-1) 2 (1-1) 1 (1-0) 1 (1-0) 1 (1-0),Marksman
101, Freya,2,2,0,100.00%,0.14%,1,1,0,100.00%,1,1,0,100.00%,9,0.64%,11,0.79%,2 (2-0), 2 (2-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Fighter
102, Aldous,2,1,1,50.00%,0.14%,0,0,0,-,2,1,1,50.00%,0,0.00%,2,0.14%,1 (1-0)1 (0-1), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (0-1), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Fighter
103, Aulus,2,1,1,50.00%,0.14%,1,0,1,0.00%,1,1,0,100.00%,0,0.00%,2,0.14%,1 (1-0)1 (0-1), 2 (1-1) 1 (1-0) 1 (1-0) 1 (1-0) 1 (0-1), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Fighter
104, Tigreal,2,0,2,0.00%,0.14%,0,0,0,-,2,0,2,0.00%,0,0.00%,2,0.14%,2 (0-2), 2 (0-2) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Tank
105, Kimmy,1,1,0,100.00%,0.07%,0,0,0,-,1,1,0,100.00%,0,0.00%,1,0.07%,1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Marksman / Mage
106, Moskov,1,1,0,100.00%,0.07%,0,0,0,-,1,1,0,100.00%,1,0.07%,2,0.14%,1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Marksman
107, Saber,1,1,0,100.00%,0.07%,0,0,0,-,1,1,0,100.00%,0,0.00%,1,0.07%,1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0), 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0) 1 (1-0),Assassin
108, Alucard,1,0,1,0.00%,0.07%,0,0,0,-,1,0,1,0.00%,0,0.00%,1,0.07%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Fighter
109, Silvanna,1,0,1,0.00%,0.07%,0,0,0,-,1,0,1,0.00%,0,0.00%,1,0.07%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Fighter / Mage
110, Sun,1,0,1,0.00%,0.07%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.07%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Fighter
111, Vale,1,0,1,0.00%,0.07%,1,0,1,0.00%,0,0,0,-,1,0.07%,2,0.14%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Mage
112, Vexana,1,0,1,0.00%,0.07%,0,0,0,-,1,0,1,0.00%,0,0.00%,1,0.07%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Mage
113, Zilong,1,0,1,0.00%,0.07%,0,0,0,-,1,0,1,0.00%,1,0.07%,2,0.14%,1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1), 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1) 1 (0-1),Fighter
114, Layla,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,1,0.07%,1,0.07%,-,-,-,Marksman
115, Miya,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,4,0.29%,4,0.29%,-,-,-,Marksman
